Country,Amount,Contributions,Visits
United States,1604,3,316
France,537,1,17
United Kingdom,537,1,37
Singapore,537,1,59
United Arab Emirates,296,1,4
Ghana,0,0,1
Germany,0,0,15
Croatia,0,0,2
Macau,0,0,2
Brazil,0,0,6
Iceland,0,0,1
Taiwan,0,0,13
Costa Rica,0,0,1
Hungary,0,0,1
Israel,0,0,14
Algeria,0,0,6
Timor-Leste,0,0,1
Mongolia,0,0,1
"Korea, Republic of",0,0,33
Hong Kong,0,0,69
Finland,0,0,4
Romania,0,0,4
Iraq,0,0,2
Peru,0,0,1
,0,0,3
Mexico,0,0,2
Palestinian Territory,0,0,1
Indonesia,0,0,9
New Zealand,0,0,243
Mauritius,0,0,1
Bhutan,0,0,1
Thailand,0,0,10
Serbia,0,0,1
Estonia,0,0,3
Tunisia,0,0,1
Switzerland,0,0,2
Chile,0,0,1
India,0,0,30
Poland,0,0,3
Egypt,0,0,3
Kuwait,0,0,2
Myanmar,0,0,1
Asia/Pacific Region,0,0,8
Haiti,0,0,1
Netherlands,0,0,6
Turkey,0,0,1
Bangladesh,0,0,11
Philippines,0,0,13
Morocco,0,0,8
Italy,0,0,19
Malaysia,0,0,3
Vietnam,0,0,16
Lebanon,0,0,3
Libya,0,0,1
China,0,0,158
Nepal,0,0,9
Ethiopia,0,0,1
Nigeria,0,0,1
Czech Republic,0,0,3
Russian Federation,0,0,13
Qatar,0,0,2
South Africa,0,0,2
Jamaica,0,0,2
Bahrain,0,0,2
Venezuela,0,0,1
Sri Lanka,0,0,1
Saudi Arabia,0,0,4
Ukraine,0,0,2
Ireland,0,0,18
Australia,0,0,433
Armenia,0,0,1
Japan,0,0,593
Canada,0,0,451
Pakistan,0,0,8
Sweden,0,0,2
Spain,0,0,4
Portugal,0,0,2
Slovakia,0,0,1
